      occcnt,        pcnt,     p_level,        xcnt,   rest_zcnt,rest_z_level,      udistr,    escape1m,  escape1p5m,    escape2m,,
           3,           1,    0.928861,           3,      35    ,    0.522673,    0.000539,    0.073564,    0.143673,    0.207196,,
           3,           1,    0.928861,           3,      36    ,    0.527218,    0.000569,    0.146576,    0.235804,    0.306804,,
           3,           1,    0.928861,           3,      37    ,    0.531787,    0.000591,    0.264999,    0.363011,    0.433271,,
           3,           1,    0.928861,           3,      38    ,    0.536380,    0.000579,    0.434381,    0.523984,    0.583374,,
           3,           1,    0.928861,           3,      39    ,    0.540996,    0.000538,    0.636400,    0.700924,    0.741431,,
           4,           1,    0.928861,           1,      69    ,    0.691203,    0.000160,    0.626490,    0.691166,    0.734242,,
           4,           1,    0.928861,           1,      70    ,    0.696623,    0.000212,    0.423751,    0.513817,    0.578162,,
           4,           1,    0.928861,           1,      71    ,    0.702070,    0.000266,    0.256763,    0.357405,    0.436845,,
           4,           1,    0.928861,           1,      72    ,    0.707546,    0.000312,    0.143607,    0.241301,    0.328395,,
           4,           1,    0.928861,           1,      73    ,    0.713050,    0.000354,    0.080063,    0.169620,    0.259119,,
           4,           1,    0.928861,           1,      74    ,    0.718583,    0.000391,    0.058073,    0.142547,    0.231878,,
           4,           1,    0.928861,           1,      75    ,    0.724144,    0.000426,    0.073996,    0.160150,    0.248092,,
           4,           1,    0.928861,           1,      76    ,    0.729735,    0.000443,    0.131096,    0.223247,    0.307887,,
           4,           1,    0.928861,           1,      77    ,    0.735354,    0.000445,    0.238062,    0.333019,    0.410107,,
           4,           1,    0.928861,           1,      78    ,    0.741002,    0.000425,    0.401319,    0.487355,    0.550253,,
           4,           1,    0.928861,           1,      79    ,    0.746680,    0.000378,    0.605571,    0.668487,    0.711179,,
           4,           1,    0.928861,           2,      45    ,    0.569202,    0.000038,    0.607797,    0.669603,    0.708487,,
           4,           1,    0.928861,           2,      46    ,    0.573989,    0.000055,    0.403372,    0.486581,    0.541919,,
           4,           1,    0.928861,           2,      47    ,    0.578801,    0.000070,    0.238649,    0.326920,    0.390597,,
           4,           1,    0.928861,           2,      48    ,    0.583637,    0.000084,    0.127973,    0.206001,    0.268914,,
           4,           1,    0.928861,           2,      49    ,    0.588499,    0.000099,    0.062299,    0.122099,    0.177874,,
           4,           1,    0.928861,           2,      50    ,    0.593385,    0.000107,    0.027480,    0.068584,    0.114761,,
           4,           1,    0.928861,           2,      51    ,    0.598298,    0.000117,    0.011237,    0.038227,    0.076021,,
           4,           1,    0.928861,           2,      52    ,    0.603235,    0.000127,    0.005244,    0.025131,    0.058444,,
           4,           1,    0.928861,           2,      53    ,    0.608198,    0.000134,    0.005539,    0.026124,    0.060197,,
           4,           1,    0.928861,           2,      54    ,    0.613187,    0.000138,    0.012318,    0.041406,    0.081370,,
           4,           1,    0.928861,           2,      55    ,    0.618202,    0.000143,    0.029928,    0.074463,    0.123895,,
           4,           1,    0.928861,           2,      56    ,    0.623243,    0.000146,    0.066997,    0.131251,    0.190837,,
           4,           1,    0.928861,           2,      57    ,    0.628310,    0.000147,    0.135802,    0.218633,    0.285255,,
           4,           1,    0.928861,           2,      58    ,    0.633403,    0.000141,    0.249853,    0.342340,    0.408991,,
           4,           1,    0.928861,           2,      59    ,    0.638523,    0.000133,    0.416698,    0.502726,    0.559916,,
           4,           1,    0.928861,           2,      60    ,    0.643669,    0.000118,    0.620221,    0.683269,    0.722928,,
           4,           1,    0.928861,           3,      27    ,    0.487144,    0.000045,    0.593737,    0.654033,    0.691872,,
           4,           1,    0.928861,           3,      28    ,    0.491505,    0.000071,    0.388551,    0.468498,    0.521467,,
           4,           1,    0.928861,           3,      29    ,    0.495889,    0.000097,    0.226400,    0.309903,    0.369737,,
           4,           1,    0.928861,           3,      30    ,    0.500295,    0.000130,    0.119550,    0.192146,    0.249882,,
           4,           1,    0.928861,           3,      31    ,    0.504724,    0.000160,    0.057302,    0.111777,    0.161111,,
           4,           1,    0.928861,           3,      32    ,    0.509177,    0.000198,    0.024813,    0.060828,    0.098892,,
           4,           1,    0.928861,           3,      33    ,    0.513652,    0.000237,    0.009674,    0.030906,    0.057743,,
           4,           1,    0.928861,           3,      34    ,    0.518151,    0.000273,    0.003388,    0.014653,    0.032141,,
           4,           1,    0.928861,           3,      35    ,    0.522673,    0.000321,    0.001064,    0.006515,    0.017296,,
           4,           1,    0.928861,           3,      36    ,    0.527218,    0.000359,    0.000304,    0.002843,    0.009602,,
           4,           1,    0.928861,           3,      37    ,    0.531787,    0.000407,    0.000102,    0.001585,    0.006786,,
           4,           1,    0.928861,           3,      38    ,    0.536380,    0.000456,    0.000133,    0.001926,    0.007898,,
           4,           1,    0.928861,           3,      39    ,    0.540996,    0.000509,    0.000449,    0.004080,    0.013272,,
           4,           1,    0.928861,           3,      40    ,    0.545637,    0.000557,    0.001530,    0.009337,    0.024511,,
           4,           1,    0.928861,           3,      41    ,    0.550301,    0.000608,    0.004688,    0.020308,    0.044460,,
           4,           1,    0.928861,           3,      42    ,    0.554990,    0.000654,    0.012884,    0.041240,    0.077077,,
           4,           1,    0.928861,           3,      43    ,    0.559703,    0.000700,    0.031805,    0.078096,    0.127063,,
           4,           1,    0.928861,           3,      44    ,    0.564440,    0.000740,    0.070682,    0.138061,    0.199144,,
           4,           1,    0.928861,           3,      45    ,    0.569202,    0.000767,    0.141887,    0.228288,    0.297074,,
           4,           1,    0.928861,           3,      46    ,    0.573989,    0.000770,    0.258447,    0.354071,    0.422657,,
           4,           1,    0.928861,           3,      47    ,    0.578801,    0.000732,    0.426778,    0.514861,    0.573274,,
           4,           1,    0.928861,           3,      48    ,    0.583637,    0.000660,    0.629486,    0.693397,    0.733541,,
           1,           2,    0.936104,           1,      59    ,    0.638523,    0.000170,    0.618694,    0.682016,    0.723221,,
           1,           2,    0.936104,           1,      60    ,    0.643669,    0.000287,    0.415119,    0.501959,    0.562434,,
           1,           2,    0.936104,           1,      61    ,    0.648842,    0.000403,    0.248804,    0.343622,    0.416619,,
           1,           2,    0.936104,           1,      62    ,    0.654042,    0.000518,    0.136088,    0.224706,    0.302608,,
           1,           2,    0.936104,           1,      63    ,    0.659269,    0.000649,    0.070393,    0.147030,    0.224997,,
           1,           2,    0.936104,           1,      64    ,    0.664522,    0.000771,    0.040770,    0.108467,    0.185147,,
           1,           2,    0.936104,           1,      65    ,    0.669803,    0.000874,    0.040100,    0.107243,    0.183598,,
           1,           2,    0.936104,           1,      66    ,    0.675112,    0.000962,    0.068259,    0.143398,    0.220499,,
           1,           2,    0.936104,           1,      67    ,    0.680448,    0.001029,    0.132237,    0.218858,    0.295648,,
           1,           2,    0.936104,           1,      68    ,    0.685812,    0.001051,    0.243210,    0.336125,    0.408114,,
           1,           2,    0.936104,           1,      69    ,    0.691203,    0.001036,    0.408455,    0.493982,    0.553812,,
           1,           2,    0.936104,           1,      70    ,    0.696623,    0.000941,    0.612488,    0.675232,    0.716196,,
           1,           2,    0.936104,           2,      36    ,    0.527218,    0.000033,    0.600777,    0.661841,    0.700210,,
           1,           2,    0.936104,           2,      37    ,    0.531787,    0.000049,    0.395937,    0.477521,    0.531673,,
           1,           2,    0.936104,           2,      38    ,    0.536380,    0.000069,    0.232476,    0.318348,    0.380083,,
           1,           2,    0.936104,           2,      39    ,    0.540996,    0.000087,    0.123709,    0.198972,    0.259257,,
           1,           2,    0.936104,           2,      40    ,    0.545637,    0.000101,    0.059753,    0.116796,    0.169324,,
           1,           2,    0.936104,           2,      41    ,    0.550301,    0.000118,    0.026094,    0.064496,    0.106710,,
           1,           2,    0.936104,           2,      42    ,    0.554990,    0.000132,    0.010352,    0.034244,    0.067029,,
           1,           2,    0.936104,           2,      43    ,    0.559703,    0.000147,    0.004044,    0.019450,    0.046213,,
           1,           2,    0.936104,           2,      44    ,    0.564440,    0.000157,    0.002625,    0.015956,    0.041527,,
           1,           2,    0.936104,           2,      45    ,    0.569202,    0.000170,    0.004883,    0.022608,    0.052190,,
           1,           2,    0.936104,           2,      46    ,    0.573989,    0.000180,    0.012654,    0.041339,    0.079479,,
           1,           2,    0.936104,           2,      47    ,    0.578801,    0.000193,    0.031156,    0.076850,    0.126327,,
           1,           2,    0.936104,           2,      48    ,    0.583637,    0.000198,    0.069433,    0.135746,    0.196446,,
           1,           2,    0.936104,           2,      49    ,    0.588499,    0.000207,    0.139837,    0.225033,    0.293129,,
           1,           2,    0.936104,           2,      50    ,    0.593385,    0.000206,    0.255564,    0.350139,    0.418088,,
           1,           2,    0.936104,           2,      51    ,    0.598298,    0.000193,    0.423410,    0.510812,    0.568823,,
           1,           2,    0.936104,           2,      52    ,    0.603235,    0.000177,    0.626403,    0.690032,    0.730019,,
           1,           2,    0.936104,           3,      17    ,    0.444751,    0.000014,    0.585895,    0.645308,    0.682556,,
           1,           2,    0.936104,           3,      18    ,    0.448892,    0.000026,    0.380403,    0.458519,    0.510223,,
           1,           2,    0.936104,           3,      19    ,    0.453055,    0.000039,    0.219761,    0.300670,    0.358584,,
           1,           2,    0.936104,           3,      20    ,    0.457239,    0.000054,    0.115051,    0.184803,    0.240218,,
           1,           2,    0.936104,           3,      21    ,    0.461445,    0.000072,    0.054678,    0.106583,    0.153532,,
           1,           2,    0.936104,           3,      22    ,    0.465673,    0.000090,    0.023478,    0.057506,    0.093413,,
           1,           2,    0.936104,           3,      23    ,    0.469923,    0.000111,    0.009077,    0.028967,    0.054030,,
           1,           2,    0.936104,           3,      24    ,    0.474195,    0.000133,    0.003152,    0.013604,    0.029693,,
           1,           2,    0.936104,           3,      25    ,    0.478489,    0.000160,    0.000981,    0.005953,    0.015535,,
           1,           2,    0.936104,           3,      26    ,    0.482805,    0.000184,    0.000273,    0.002438,    0.007852,,
           1,           2,    0.936104,           3,      27    ,    0.487144,    0.000218,    0.000069,    0.000982,    0.004136,,
           1,           2,    0.936104,           3,      28    ,    0.491505,    0.000253,    0.000021,    0.000535,    0.002943,,
           1,           2,    0.936104,           3,      29    ,    0.495889,    0.000287,    0.000032,    0.000730,    0.003751,,
           1,           2,    0.936104,           3,      30    ,    0.500295,    0.000323,    0.000126,    0.001723,    0.006881,,
           1,           2,    0.936104,           3,      31    ,    0.504724,    0.000371,    0.000478,    0.004254,    0.013516,,
           1,           2,    0.936104,           3,      32    ,    0.509177,    0.000405,    0.001627,    0.009898,    0.025793,,
           1,           2,    0.936104,           3,      33    ,    0.513652,    0.000460,    0.004955,    0.021453,    0.046875,,
           1,           2,    0.936104,           3,      34    ,    0.518151,    0.000511,    0.013528,    0.043296,    0.080872,,
           1,           2,    0.936104,           3,      35    ,    0.522673,    0.000553,    0.033174,    0.081451,    0.132487,,
           1,           2,    0.936104,           3,      36    ,    0.527218,    0.000600,    0.073239,    0.143042,    0.206291,,
           1,           2,    0.936104,           3,      37    ,    0.531787,    0.000633,    0.146050,    0.234962,    0.305715,,
           1,           2,    0.936104,           3,      38    ,    0.536380,    0.000650,    0.264266,    0.362013,    0.432088,,
           1,           2,    0.936104,           3,      39    ,    0.540996,    0.000640,    0.433535,    0.522970,    0.582253,,
           1,           2,    0.936104,           3,      40    ,    0.545637,    0.000601,    0.635633,    0.700091,    0.740559,,
           2,           2,    0.936104,           1,      67    ,    0.680448,    0.000231,    0.625208,    0.691334,    0.737192,,
           2,           2,    0.936104,           1,      68    ,    0.685812,    0.000342,    0.422956,    0.516187,    0.585484,,
